price;title;location;surface;rooms
670000;Mieszkanie Warszawa Targówek Mieszkaniowy, ul. Janinówka;Targówek Mieszkaniowy;56.1;3
1380000;"Mieszkanie Warszawa Siekierki, ul. Batalionu ak ""Karpaty""";Siekierki;89.15;4
678000;Mieszkanie Warszawa Śródmieście, ul. Jana Pawła II;Śródmieście;38.0;2
1380000;"Mieszkanie Warszawa Mokotów, ul. Batalionu ak ""Karpaty""";Mokotów;89.15;3
1950000;Mieszkanie Warszawa Śródmieście;Śródmieście;67.0;2
924000;Mieszkanie Warszawa Czyste, ul. Skierniewicka;Czyste;56.0;2
1696999;Nowe mieszkanie Warszawa Wola;Wola;79.52;3
570000;Mieszkanie Warszawa Powiśle, ul. Solec;Powiśle;36.0;2
750000;Mieszkanie Warszawa Praga-Południe;Praga-Południe;82.0;3
830000;Nowe mieszkanie Warszawa;mazowieckie;134.0;4
1530716;Mieszkanie Warszawa Śródmieście Południowe, ul. Bagatela;Śródmieście Południowe;73.24;3
510300;Mieszkanie Warszawa Wola, ul. Mordechaja Anielewicza;Wola;37.8;2
957000;Mieszkanie Warszawa Śródmieście, ul. Solidarności;Śródmieście;63.9;3
1095698;Nowe mieszkanie Warszawa Siekierki, ul. Polska;Siekierki;91.46;4
1440000;Mieszkanie Warszawa Stara Ochota, ul. Adama Asnyka;Stara Ochota;90.0;4
799000;Mieszkanie Warszawa Wola, ul. Nowolipki;Wola;48.0;2
389000;Mieszkanie Warszawa Praga-Południe, ul. Komorska;Praga-Południe;28.66;1
599000;Mieszkanie Warszawa Wola, ul. Jaktorowska;Wola;27.48;1
767566;Nowe mieszkanie Warszawa Praga-Południe, ul. Podskarbińska 32/34;Praga-Południe;69.78;3
529000;Mieszkanie Warszawa Praga-Południe, ul. Korytnicka;Praga-Południe;53.0;2
700000;Mieszkanie Warszawa Śródmieście, ul. Ciasna;Śródmieście;44.23;2
865000;Mieszkanie Warszawa Mirów, ul. Solidarności;Mirów;66.66;3
799000;Nowe mieszkanie Warszawa Śródmieście, ul. Grzybowska 37;Śródmieście;33.35;1
620000;Mieszkanie Warszawa Kamionek, ul. Lubelska;Kamionek;43.7;2
730000;Mieszkanie Warszawa Gocław;Gocław;63.0;3
936728;Nowe mieszkanie Warszawa Praga-Południe;Praga-Południe;92.29;4
680000;Mieszkanie Warszawa Wola, ul. Radziwie;Wola;48.0;2
460000;Mieszkanie Warszawa Nowolipki, ul. Mordechaja Anielewicza;Nowolipki;36.4;2
430000;Mieszkanie Warszawa Zacisze;Zacisze;37.4;1
1270000;Nowe mieszkanie Warszawa Wola;Wola;63.38;3
676000;Mieszkanie Warszawa Targówek, ul. Janinówka;Targówek;56.1;3
420000;Mieszkanie Warszawa Praga-Północ, ul. Witkiewicza;Praga-Północ;33.7;2
383000;Mieszkanie Warszawa Śródmieście, ul. Solidarności;Śródmieście;15.0;1
915000;Mieszkanie Warszawa Śródmieście, ul. Jana Pawła II;Śródmieście;68.0;3
835000;Mieszkanie Warszawa Wola, ul. Żytnia;Wola;62.6;2
590000;Mieszkanie Warszawa Młynów, ul. Żytnia;Młynów;36.0;2
1600000;Mieszkanie Warszawa Śródmieście Północne, ul. Hoża;Śródmieście Północne;65.0;2
800000;Mieszkanie Warszawa Śródmieście, ul. Marszałkowska;Śródmieście;41.02;2
2039785;Nowe mieszkanie Warszawa Wola;Wola;76.2;4
660000;Mieszkanie Warszawa Praga-Południe, ul. Londyńska;Praga-Południe;33.0;1
729000;Mieszkanie Warszawa Grochów, ul. Giuseppe Garibaldiego;Grochów;51.0;2
